"fungal infection - scalp"
"infection - fungal - scalp"
"ringworm - scalp"
"tinea of the scalp"
"tinea","18","['disease or syndrome']"
"tinea capitis","12","['disease or syndrome']"
"scalp structure","8","['body part, organ, or organ component']"
"hair","3","['body part, organ, or organ component']"
"comb animal structure","3","['body part, organ, or organ component', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"physical findings","3","['finding']"
"encounter due to puberty","2","['finding']"
"alopecia","2","['finding']"
"water","2","['inorganic chemical', 'pharmacologic substance']"
"pet health","2","['group attribute']"
"inguinal region","1","['body location or region']"
"anatomical layer","1","['body part, organ, or organ component']"
"anatomic node","1","['body part, organ, or organ component']"
"structure of beard","1","['body part, organ, or organ component']"
"fever","1","['finding']"
"soaking procedure","1","['therapeutic or preventive procedure']"
"skin diseases infectious","1","['disease or syndrome']"
"itraconazole","1","['organic chemical', 'pharmacologic substance']"
"lymph nodes","1","['body part, organ, or organ component']"
"pruritus","1","['sign or symptom']"
"ketoconazole","1","['organic chemical', 'pharmacologic substance']"
"bleach","1","['inorganic chemical']"
"toes","1","['body part, organ, or organ component']"
"lymphadenopathy","1","['disease or syndrome', 'finding']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"cicatrix","1","['finding', 'pathologic function']"
"terbinafine","1","['organic chemical', 'pharmacologic substance']"
"foot","1","['body part, organ, or organ component']"
"selenium sulfide","1","['inorganic chemical', 'pharmacologic substance']"
"neck","1","['body location or region']"
"nail plate","1","['body part, organ, or organ component', 'body substance']"
"griseofulvin","1","['organic chemical', 'pharmacologic substance']"
"male gender","1","['finding']"
"tinea cruris","1","['disease or syndrome']"
