"discolored teeth"
"tooth discoloration"
"tooth pigmentation"
"lithium","241","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"amph protein human","79","['biologically active substance', 'pharmacologic substance']"
"uterine fibroids","52","['neoplastic process']"
"rhythm","42","['finding']"
"tooth structure","36","['body part, organ, or organ component']"
"medical history","26","['finding']"
"histone h3","24","['biologically active substance']"
"js","24","['body part, organ, or organ component']"
"coffin-siris syndrome","23","['congenital abnormality', 'disease or syndrome']"
"coloring excipient","16","['pharmacologic substance']"
"hepatic","14","['body location or region']"
"paramyotonia congenita of von eulenburg","14","['disease or syndrome']"
"rel protein","13","['biologically active substance']"
"colostrum","9","['body substance', 'finding', 'pharmacologic substance']"
"discontinued","8","['body part, organ, or organ component', 'disease or syndrome', 'finding', 'therapeutic or preventive procedure']"
"dental enamel","7","['body substance']"
"target lesion identification","7","['diagnostic procedure']"
"self care hygiene","6","['finding']"
"app protein human","6","['biologically active substance', 'disease or syndrome', 'finding', 'pharmacologic substance']"
"pharmaceutical preparations","6","['pharmacologic substance']"
"fluorouracil/melphalan","6","['therapeutic or preventive procedure']"
"tooth color","6","['finding']"
"alanine transaminase","5","['congenital abnormality', 'disease or syndrome', 'enzyme']"
"foot","5","['body part, organ, or organ component']"
"dental hygiene","5","['individual behavior']"
"thrombasthenia","4","['disease or syndrome']"
"set protein human","4","['biologically active substance']"
"diastrophic dysplasia","4","['congenital abnormality', 'disease or syndrome']"
"thumb structure","4","['body part, organ, or organ component']"
"abnormal color","4","['finding']"
"fluorides","4","['inorganic chemical', 'pharmacologic substance']"
"upper respiratory infections","4","['disease or syndrome']"
"blank","4","['finding']"
"attention deficit disorder","4","['disease or syndrome', 'mental or behavioral dysfunction']"
"surgical margins","4","['body part, organ, or organ component']"
"date allergenic extract","3","['pharmacologic substance']"
"histiocytosis langerhans-cell","3","['disease or syndrome']"
"russell-silver syndrome","3","['congenital abnormality', 'diagnostic procedure', 'disease or syndrome']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"muscular dystrophy","2","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"observation result","2","['finding']"
"bony process","2","['body part, organ, or organ component']"
"water","2","['inorganic chemical', 'pharmacologic substance']"
"thymidine","2","['biologically active substance', 'enzyme', 'pharmacologic substance']"
"anatomic site","2","['body location or region']"
"prealbumin","2","['biologically active substance']"
"chemical probe","2","['chemical viewed functionally', 'organic chemical', 'pharmacologic substance']"
"formycin triphosphate","2","['pharmacologic substance']"
"normal teeth","2","['finding']"
"signs and symptoms","2","['sign or symptom']"
"does skip","2","['biologically active substance', 'finding']"
"tooth discoloration","2","['finding']"
"educational status","2","['finding', 'individual behavior']"
"behaviorial habits","2","['individual behavior']"
"immunoconjugates","2","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"core specimen","2","['body substance']"
"periodontics procedure","1","['therapeutic or preventive procedure']"
"gtpase-activating proteins","1","['biologically active substance']"
"general anesthesia","1","['enzyme', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"entire tooth","1","['body part, organ, or organ component']"
"paroxysmal atrial fibrillation","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"source","1","['finding']"
"matrix attachment regions","1","['biologically active substance', 'clinical attribute']"
"compact pattern","1","['finding']"
"esthesia","1","['finding', 'organ or tissue function']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"metabolic diseases","1","['disease or syndrome']"
"may-hegglin anomaly","1","['finding', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"neonatal jaundice","1","['sign or symptom']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"fibronectins","1","['biologically active substance']"
"electroconvulsive therapy","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"ask question","1","['finding']"
"stat protein","1","['biologically active substance', 'finding']"
"muscular dystrophy duchenne","1","['disease or syndrome']"
"amelogenesis","1","['organ or tissue function']"
"inflammation","1","['pathologic function']"
"research outcome","1","['finding']"
"anterior segmental vein","1","['body part, organ, or organ component']"
"copper","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"dna","1","['biologically active substance']"
"dental caries","1","['disease or syndrome']"
"craniodiaphyseal dysplasia","1","['congenital abnormality']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"calcium","1","['biologically active substance', 'inorganic chemical', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"body parts - dental","1","['body part, organ, or organ component']"
"gingivitis","1","['disease or syndrome']"
"congenital disorders","1","['congenital abnormality', 'disease or syndrome']"
"poor hygiene","1","['finding']"
"gingiva","1","['body part, organ, or organ component', 'pharmacologic substance']"
"palm of hand","1","['body location or region']"
"icterus","1","['finding', 'pathologic function']"
"disorders of porphyrin metabolism","1","['disease or syndrome']"
"anatomic border","1","['body location or region']"
"expression procedure","1","['therapeutic or preventive procedure']"
"tooth diseases","1","['disease or syndrome']"
"aplasia cutis congenita","1","['congenital abnormality', 'disease or syndrome']"
"doxorubicin","1","['antibiotic', 'finding', 'organic chemical']"
"fever","1","['finding']"
"parotid double-band protein","1","['biologically active substance']"
"odontogenesis","1","['organ or tissue function']"
"dentinogenesis","1","['organ or tissue function']"
