"tapvr"
"total veins"
"heart","13","['body part, organ, or organ component', 'pharmacologic substance']"
"scimitar syndrome","9","['congenital abnormality']"
"lung","9","['body part, organ, or organ component', 'disease or syndrome']"
"heart atrium","6","['body part, organ, or organ component']"
"blood vessel","4","['body part, organ, or organ component', 'finding']"
"left atrial structure","4","['body part, organ, or organ component']"
"pulmonary veins","4","['body part, organ, or organ component']"
"cyanosis","2","['sign or symptom']"
"right atrial structure","2","['body part, organ, or organ component']"
"pulmonary vessels","2","['body part, organ, or organ component']"
"lethargy","1","['sign or symptom']"
"aorta","1","['body part, organ, or organ component']"
"right ventricular structure","1","['body part, organ, or organ component']"
"autism spectrum disorders","1","['congenital abnormality', 'mental or behavioral dysfunction']"
"pulmonary hypertension","1","['disease or syndrome', 'finding']"
"hypertensive disease","1","['biologically active substance', 'disease or syndrome', 'finding']"
"tissue growth","1","['organ or tissue function']"
"prompt","1","['pharmacologic substance']"
"dyspnea","1","['sign or symptom']"
"left side of heart","1","['body location or region']"
"frequent respiratory infections","1","['finding']"
"ventricular hypertrophy","1","['disease or syndrome', 'finding']"
"coloring excipient","1","['pharmacologic substance']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"foramen ovale patent","1","['congenital abnormality', 'disease or syndrome']"
"tachypnea","1","['sign or symptom']"
"heart rhythm","1","['organ or tissue function', 'pathologic function']"
"echocardiography","1","['diagnostic procedure']"
"respiratory diaphragm","1","['body part, organ, or organ component', 'disease or syndrome']"
"abdomen","1","['body location or region']"
"fluid retention in lung","1","['sign or symptom']"
"physical findings","1","['finding']"
"poor growth","1","['finding']"
"heart ventricle","1","['body part, organ, or organ component']"
"fasting","1","['finding']"
"respiratory tract infections","1","['disease or syndrome']"
"cardiac catheterization procedures","1","['diagnostic procedure']"
"disease of diaphragm","1","['body part, organ, or organ component', 'disease or syndrome']"
"chamber","1","['body part, organ, or organ component']"
"poor feeding","1","['finding']"
"magnetic resonance imaging","1","['diagnostic procedure']"
