"toxoplasmosis","12","['disease or syndrome']"
"immune system finding","5","['finding']"
"feces","4","['body substance']"
"toxoplasmosis congenital","4","['disease or syndrome']"
"blood transfusion","2","['therapeutic or preventive procedure']"
"gravidity","2","['finding']"
"seizures","2","['finding', 'sign or symptom']"
"headache","2","['sign or symptom']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"fever","2","['finding']"
"confusion","2","['finding', 'mental or behavioral dysfunction']"
"hand","2","['body part, organ, or organ component']"
"brain","2","['body part, organ, or organ component', 'disease or syndrome']"
"cytarabine/thioguanine","2","['diagnostic procedure', 'enzyme', 'therapeutic or preventive procedure']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"cardiopulmonary","1","['body location or region']"
"anatomic node","1","['body part, organ, or organ component']"
"infectious mononucleosis","1","['disease or syndrome']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"beef prepartion","1","['pharmacologic substance']"
"placenta specimen","1","['body substance']"
"entire head and neck","1","['body location or region']"
"blurred vision","1","['sign or symptom']"
"antimalarials","1","['pharmacologic substance']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"lymph nodes","1","['body part, organ, or organ component']"
"mild adverse event","1","['finding']"
"acquired immunodeficiency syndrome","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"inflammation","1","['pathologic function']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"slitting","1","['therapeutic or preventive procedure']"
"hiv","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"pharyngeal structure","1","['body location or region', 'body part, organ, or organ component', 'body substance']"
"retina","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"lymphadenopathy","1","['disease or syndrome', 'finding']"
"finding of antibody titer","1","['laboratory or test result']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"antibiotics","1","['antibiotic']"
"handling","1","['finding']"
"physical findings","1","['finding']"
"sore to touch","1","['sign or symptom']"
"carney complex","1","['disease or syndrome', 'pharmacologic substance']"
"sore throat","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'sign or symptom']"
"pork allergenic extract","1","['pharmacologic substance']"
"consumption-archaic term for tb","1","['disease or syndrome']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"transplanted organ","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
