"muscle cramp","3","['sign or symptom']"
"sprue tropical","3","['disease or syndrome']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"tooth structure","2","['body part, organ, or organ component']"
"vitamins","2","['organic chemical', 'pharmacologic substance']"
"folate","2","['organic chemical', 'pharmacologic substance']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"upper gastrointestinal series","2","['diagnostic procedure']"
"tetracycline","2","['antibiotic', 'organic chemical', 'pharmacologic substance']"
"vitamin b 12","2","['organic chemical', 'pharmacologic substance']"
"bone density","1","['clinical attribute', 'diagnostic procedure', 'disease or syndrome']"
"deterioration of status","1","['finding']"
"tissue damage","1","['injury or poisoning']"
"serum iron level result","1","['laboratory or test result']"
"tissue growth","1","['organ or tissue function']"
"esophagogastroduodenoscopy","1","['diagnostic procedure']"
"enteroscopy","1","['diagnostic procedure']"
"pallor","1","['finding', 'sign or symptom']"
"body weight decreased","1","['finding']"
"excessive flatulence","1","['sign or symptom']"
"finding of vitamin b12 level","1","['laboratory or test result']"
"inflammation","1","['pathologic function']"
"intestines small","1","['body part, organ, or organ component', 'disease or syndrome']"
"gi series","1","['diagnostic procedure']"
"endoscopy of stomach","1","['diagnostic procedure']"
"electrolytes","1","['inorganic chemical', 'pharmacologic substance']"
"antibiotics","1","['antibiotic']"
"physical findings","1","['finding']"
"dyspepsia","1","['sign or symptom']"
"numbness","1","['finding', 'sign or symptom']"
"diet high-fat","1","['therapeutic or preventive procedure']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"structure of permanent tooth","1","['body part, organ, or organ component']"
"irritable mood","1","['finding']"
"feces","1","['body substance']"
"bone mineral density test","1","['clinical attribute', 'diagnostic procedure', 'disease or syndrome']"
"abdominal cramps","1","['sign or symptom']"
"diarrhea and cramp","1","['organic chemical', 'pharmacologic substance']"
