"adenoma sebaceum"
"tuberous sclerosis","17","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome', 'finding', 'mental or behavioral dysfunction', 'neoplastic process', 'pharmacologic substance']"
"sclerosis","15","['pathologic function']"
"neoplasms","11","['finding', 'neoplastic process']"
"brain","10","['body part, organ, or organ component', 'disease or syndrome']"
"disability","5","['finding']"
"tissue growth","3","['organ or tissue function']"
"brain neoplasms","3","['neoplastic process']"
"mental retardation","3","['mental or behavioral dysfunction']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"ultrasonography","2","['diagnostic procedure']"
"dental enamel","2","['body substance']"
"neurological observations","2","['finding']"
"mental handicap","2","['mental or behavioral dysfunction']"
"inhibitors","2","['chemical viewed functionally']"
"frap1 protein human","2","['biologically active substance', 'enzyme']"
"kidney neoplasm","2","['neoplastic process']"
"physical findings","2","['finding']"
"tuberous sclerosis complex 2 protein","2","['biologically active substance']"
"dna","2","['biologically active substance']"
"face","2","['body location or region', 'disease or syndrome']"
"cerebellar tuber","2","['body location or region', 'body part, organ, or organ component']"
"tongue","2","['body location or region', 'body part, organ, or organ component']"
"mild adverse event","2","['finding']"
"tuberous sclerosis complex 1 protein","2","['biologically active substance']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"gingiva","1","['body part, organ, or organ component', 'pharmacologic substance']"
"neurocutaneous syndromes","1","['congenital abnormality', 'neoplastic process']"
"hereditary diseases","1","['disease or syndrome']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"vigabatrin","1","['pharmacologic substance']"
"pallor","1","['finding', 'sign or symptom']"
"benign neoplasm","1","['neoplastic process']"
"calcium","1","['biologically active substance', 'inorganic chemical', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"no seizures","1","['finding']"
"encounter due to puberty","1","['finding']"
"brain and spinal cord","1","['body part, organ, or organ component']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"cardiac rhabdomyoma","1","['neoplastic process']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"hamartoma","1","['neoplastic process']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"heart rhythm","1","['organ or tissue function', 'pathologic function']"
"heart neoplasm","1","['disease or syndrome', 'neoplastic process']"
"tumor growth","1","['neoplastic process']"
"cardiac arrhythmia","1","['finding', 'pathologic function']"
"retina","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"back","1","['body location or region']"
"eye neoplasms","1","['neoplastic process']"
"asymmetric septal hypertrophy","1","['disease or syndrome', 'pharmacologic substance']"
"blood supply aspects","1","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome', 'organ or tissue function']"
"educational status","1","['finding', 'individual behavior']"
"mri of head","1","['diagnostic procedure']"
"pigment","1","['chemical viewed functionally']"
"calcification","1","['finding', 'organ or tissue function']"
"structure of nail of toe","1","['body part, organ, or organ component']"
"tooth structure","1","['body part, organ, or organ component']"
"structure of nail of finger","1","['body part, organ, or organ component']"
"everolimus","1","['organic chemical', 'pharmacologic substance']"
"normal intelligence","1","['finding']"
"echoencephalography","1","['diagnostic procedure']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"plain x-ray","1","['diagnostic procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"disease screening","1","['diagnostic procedure']"
