"cryptorchidism"
"empty scrotum - undescended testes"
"monorchism"
"retractile testes"
"scrotum - empty (undescended testes)"
"vanished testes - undescended"
"testis","31","['body part, organ, or organ component', 'disease or syndrome']"
"scrotum","11","['body part, organ, or organ component', 'disease or syndrome']"
"cryptorchidism","7","['congenital abnormality']"
"malignant neoplasms","5","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"infertility","4","['diagnostic procedure', 'disease or syndrome']"
"tissue damage","2","['injury or poisoning']"
"encounter due to puberty","2","['finding']"
"testicular regression syndrome","1","['congenital abnormality', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"injection procedure","1","['therapeutic or preventive procedure']"
"production processing id","1","['finding']"
"reflex action","1","['finding', 'organ or tissue function']"
"ultrasonography","1","['diagnostic procedure']"
"testicle size","1","['clinical attribute']"
"fertility problem","1","['finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"both testes","1","['body part, organ, or organ component']"
"physical findings","1","['finding']"
"testosterone","1","['pharmacologic substance']"
"testicular dysfunction","1","['disease or syndrome']"
"absent adverse event","1","['finding']"
"retractile testis","1","['congenital abnormality']"
"small testes","1","['finding']"
"orchidopexy","1","['therapeutic or preventive procedure']"
"abdominal wall structure","1","['body part, organ, or organ component']"
"malignant neoplasm of testis","1","['neoplastic process']"
