"bladder infection - adults"
"cystitis - bacterial - adults"
"kidney infection - adults"
"pyelonephritis - adults"
"uti - adults"
"kidney","20","['body part, organ, or organ component']"
"urinary bladder","18","['body part, organ, or organ component']"
"urinary tract infection","14","['disease or syndrome']"
"urinary tract","12","['body part, organ, or organ component']"
"tract","12","['body part, organ, or organ component']"
"antibiotics","12","['antibiotic']"
"body fluids","4","['biologically active substance', 'body substance', 'pharmacologic substance']"
"urethra","4","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"kidney calculi","3","['disease or syndrome']"
"mild adverse event","3","['finding']"
"intravenous pyelogram","3","['diagnostic procedure']"
"bathing","2","['finding', 'therapeutic or preventive procedure']"
"infection of kidney","2","['disease or syndrome']"
"physical findings","2","['finding']"
"self care hygiene","2","['finding']"
"multiple endocrine neoplasia","2","['antibiotic', 'neoplastic process', 'organic chemical']"
"malaise","2","['finding', 'sign or symptom']"
"infective cystitis","1","['disease or syndrome']"
"cranberry preparation","1","['organic chemical', 'pharmacologic substance']"
"sulfamethoxazole","1","['antibiotic', 'organic chemical']"
"pharmacotherapy","1","['therapeutic or preventive procedure']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"chronic urinary tract infection","1","['disease or syndrome']"
"trimethoprim-sulfamethoxazole combination","1","['organic chemical', 'pathologic function', 'pharmacologic substance']"
"veins","1","['body part, organ, or organ component']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"burning sensation","1","['sign or symptom']"
"both kidneys","1","['body part, organ, or organ component']"
"lower abdomen","1","['body location or region']"
"voiding urethrocystography","1","['diagnostic procedure']"
"caffeine","1","['organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"pyridium","1","['organic chemical', 'pharmacologic substance']"
"cystography","1","['diagnostic procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"confusion","1","['finding', 'mental or behavioral dysfunction']"
"urethritis","1","['disease or syndrome']"
"catch - finding of sensory dimension of pain","1","['sign or symptom']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"fecal incontinence","1","['disease or syndrome']"
"amoxicillin","1","['antibiotic', 'organic chemical']"
"disease of diaphragm","1","['body part, organ, or organ component', 'disease or syndrome']"
"sweat","1","['body substance', 'finding']"
"augmentin","1","['antibiotic', 'organic chemical']"
"pyelonephritis","1","['disease or syndrome']"
"echography of kidney","1","['diagnostic procedure']"
"doxycycline","1","['antibiotic', 'organic chemical']"
"phenazopyridine hydrochloride","1","['organic chemical', 'pharmacologic substance']"
"spinal cord","1","['body part, organ, or organ component', 'disease or syndrome']"
"spraying behavior","1","['mental or behavioral dysfunction']"
"ultrasonography","1","['diagnostic procedure']"
"prostate enlargement","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"interstitial cystitis","1","['disease or syndrome']"
"vagina","1","['body part, organ, or organ component', 'disease or syndrome']"
"retention - dental","1","['clinical attribute']"
"anus","1","['body part, organ, or organ component', 'disease or syndrome']"
"intestines","1","['body part, organ, or organ component']"
"fluoroquinolones","1","['organic chemical', 'pharmacologic substance']"
"urinary tract finding","1","['finding']"
"chemotherapy regimen","1","['therapeutic or preventive procedure']"
"nausea and vomiting","1","['sign or symptom']"
"tissue damage","1","['injury or poisoning']"
"septicemia","1","['disease or syndrome', 'finding', 'pathologic function']"
"peripheral arterial diseases","1","['disease or syndrome', 'neoplastic process']"
"ureter","1","['body part, organ, or organ component', 'disease or syndrome']"
"delirium","1","['mental or behavioral dysfunction']"
"estrogens","1","['pharmacologic substance']"
"renal scan and radioisotope function study","1","['diagnostic procedure']"
"perform","1","['pharmacologic substance']"
"fracture","1","['finding', 'injury or poisoning']"
"multiple sclerosis","1","['body part, organ, or organ component', 'disease or syndrome', 'finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"estrogen use","1","['finding']"
"night sweats","1","['sign or symptom']"
"urinary retention","1","['finding']"
"diabetes","1","['disease or syndrome']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"chills and fever","1","['sign or symptom']"
"red blood cells blood product","1","['pharmacologic substance']"
"hip fractures","1","['injury or poisoning']"
