"nocturia"
"body fluids","5","['biologically active substance', 'body substance', 'pharmacologic substance']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"diabetes","2","['disease or syndrome']"
"blood urea nitrogen","2","['biologically active substance', 'inorganic chemical', 'organic chemical']"
"deterioration of status","1","['finding']"
"infective cystitis","1","['disease or syndrome']"
"benign prostatic hyperplasia","1","['neoplastic process', 'pathologic function']"
"sleep apnea obstructive","1","['biologically active substance', 'disease or syndrome']"
"excessive urination at night","1","['sign or symptom']"
"ask question","1","['finding']"
"fever","1","['finding']"
"asleep","1","['finding']"
"disrupted sleep","1","['finding']"
"congestive heart failure","1","['congenital abnormality', 'disease or syndrome']"
"serum creatinine level","1","['laboratory or test result']"
"demeclocycline","1","['antibiotic', 'organic chemical']"
"blood calcium level result","1","['laboratory or test result']"
"sugars","1","['pharmacologic substance']"
"urinary tract infection","1","['disease or syndrome']"
"sleep disturbances","1","['disease or syndrome', 'sign or symptom']"
"finding of serum electrolyte levels","1","['finding']"
"carbonyldiamide","1","['biologically active substance', 'inorganic chemical', 'organic chemical']"
"lithium","1","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"glucose","1","['biologically active substance', 'pharmacologic substance']"
"osmolality","1","['clinical attribute']"
"phenytoin","1","['organic chemical', 'pharmacologic substance']"
"sleep apnea syndromes","1","['disease or syndrome']"
"urination burning sensation","1","['sign or symptom']"
"alcohol consumption","1","['individual behavior']"
"urinary bladder","1","['body part, organ, or organ component']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"methoxyflurane","1","['organic chemical', 'pharmacologic substance']"
"diuretics","1","['pharmacologic substance']"
"increased thirst","1","['sign or symptom']"
"accidents","1","['injury or poisoning']"
"nocturia","1","['disease or syndrome']"
"propoxyphene","1","['organic chemical', 'pharmacologic substance']"
