"atrophic vaginitis"
"vaginitis - atrophic"
"vaginitis due to reduced estrogen"
"estrogens","10","['pharmacologic substance']"
"vagina","7","['body part, organ, or organ component', 'disease or syndrome']"
"vaginal dryness","7","['finding']"
"atrophic vaginitis","5","['disease or syndrome']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"vaginal discharge","3","['finding']"
"body fluid discharge","2","['body substance', 'therapeutic or preventive procedure']"
"estrogen decreased","2","['finding']"
"sore to touch","2","['sign or symptom']"
"pruritus","2","['sign or symptom']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"vulvovaginitis","2","['disease or syndrome']"
"vaginal soreness","1","['sign or symptom']"
"irritants","1","['hazardous or poisonous substance']"
"fibroid tumor","1","['neoplastic process']"
"breast carcinoma","1","['neoplastic process']"
"vaginal irritation","1","['finding']"
"pallor","1","['finding', 'sign or symptom']"
"painful intercourse female","1","['finding']"
"lubrication procedure","1","['therapeutic or preventive procedure']"
"petroleum","1","['organic chemical', 'pharmacologic substance']"
"pharmacotherapy","1","['therapeutic or preventive procedure']"
"hot flushes","1","['sign or symptom']"
"inflammation","1","['pathologic function']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"contraceptives oral","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"itch burning","1","['sign or symptom']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"esthesia","1","['finding', 'organ or tissue function']"
"urination burning sensation","1","['sign or symptom']"
"respiratory diaphragm","1","['body part, organ, or organ component', 'disease or syndrome']"
"erotic interest","1","['finding']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"detergents","1","['chemical viewed functionally']"
"physical findings","1","['finding']"
"endometriosis site unspecified","1","['disease or syndrome']"
"latex","1","['organic chemical']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"infertility","1","['diagnostic procedure', 'disease or syndrome']"
"postcoital bleeding","1","['pathologic function']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"treated with","1","['therapeutic or preventive procedure']"
"petrolatum","1","['organic chemical', 'pharmacologic substance']"
"ovary","1","['body part, organ, or organ component', 'disease or syndrome']"
"mineral oil","1","['pharmacologic substance']"
