"varicose veins - scrotum"
"veins","11","['body part, organ, or organ component']"
"varicocele","9","['disease or syndrome']"
"testis","6","['body part, organ, or organ component', 'disease or syndrome']"
"cord - body parts","4","['body part, organ, or organ component', 'disease or syndrome']"
"spermatic cord","3","['body part, organ, or organ component']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"inguinal region","2","['body location or region']"
"tissue growth","2","['organ or tissue function']"
"blood clot","2","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"mass of body structure","2","['finding']"
"male gender","2","['finding']"
"varicocelectomy","1","['therapeutic or preventive procedure']"
"gravidity","1","['finding']"
"kidney","1","['body part, organ, or organ component']"
"lower abdomen","1","['body location or region']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"embolization therapeutic","1","['therapeutic or preventive procedure']"
"neck","1","['body location or region']"
"embolization of varicocele","1","['therapeutic or preventive procedure']"
"wasting","1","['disease or syndrome']"
"atrophic","1","['disease or syndrome', 'pathologic function']"
"leg","1","['body location or region']"
"anatomic valve","1","['body part, organ, or organ component']"
"pain or discomfort","1","['sign or symptom']"
"malaise","1","['finding', 'sign or symptom']"
"swelling of scrotum","1","['sign or symptom']"
"physical findings","1","['finding']"
"varicosity","1","['disease or syndrome']"
"finding of sperm number","1","['finding']"
"bony process","1","['body part, organ, or organ component']"
"infertility","1","['diagnostic procedure', 'disease or syndrome']"
"does move","1","['finding']"
"application of ice packs","1","['therapeutic or preventive procedure']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"incised wound","1","['injury or poisoning']"
