"lack of strength"
"muscle weakness"
"weakness","23","['sign or symptom']"
"asthenia","4","['sign or symptom']"
"deterioration of status","3","['finding']"
"amyotrophic lateral sclerosis","2","['disease or syndrome', 'pharmacologic substance']"
"cerebral palsy","2","['congenital abnormality', 'disease or syndrome', 'therapeutic or preventive procedure']"
"muscular dystrophy","2","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"vertebral column","2","['body part, organ, or organ component']"
"numbness","2","['finding', 'sign or symptom']"
"multiple sclerosis","2","['body part, organ, or organ component', 'disease or syndrome', 'finding']"
"fever","2","['finding']"
"cerebrovascular accident","2","['disease or syndrome', 'therapeutic or preventive procedure']"
"paralysed","2","['finding']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"influenza","1","['disease or syndrome', 'pharmacologic substance']"
"myotonic dystrophy","1","['disease or syndrome', 'pharmacologic substance']"
"hunger","1","['sign or symptom']"
"coloring excipient","1","['pharmacologic substance']"
"nerve conduction function","1","['organ or tissue function']"
"disk herniated","1","['acquired abnormality']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"limb structure","1","['body part, organ, or organ component']"
"other changes in skin color","1","['sign or symptom']"
"shellfish poisoning","1","['injury or poisoning']"
"disc - body part","1","['body part, organ, or organ component', 'finding']"
"neurological observations","1","['finding']"
"ask question","1","['finding']"
"insecticides","1","['hazardous or poisonous substance']"
"diarrhea","1","['finding', 'sign or symptom']"
"muscular dystrophy duchenne","1","['disease or syndrome']"
"lumbar region","1","['body location or region']"
"shoulder","1","['body location or region']"
"botulism","1","['injury or poisoning']"
"thyroid gland","1","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"hypersensitivity","1","['clinical attribute', 'finding', 'pathologic function']"
"chewing","1","['organ or tissue function']"
"thyroid study","1","['diagnostic procedure']"
"feeling relief","1","['finding', 'organic chemical', 'pharmacologic substance']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"set of muscles","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"headache","1","['sign or symptom']"
"low sodium diet","1","['finding', 'therapeutic or preventive procedure']"
"affected area","1","['finding']"
"cardiopulmonary","1","['body location or region']"
"body weight decreased","1","['finding']"
"autoimmune diseases","1","['disease or syndrome']"
"spinal puncture","1","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"flatulence","1","['finding', 'sign or symptom']"
"hyperparathyroidism","1","['disease or syndrome']"
"becker muscular dystrophy","1","['clinical attribute', 'diagnostic procedure', 'disease or syndrome']"
"biopsy of nerve","1","['diagnostic procedure']"
"fatigue","1","['sign or symptom']"
"cardiac conduction","1","['organ or tissue function']"
"pain relief","1","['organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"hand","1","['body part, organ, or organ component']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"anemia","1","['disease or syndrome']"
"nerve gas","1","['hazardous or poisonous substance', 'organic chemical']"
"nerve compression","1","['injury or poisoning']"
"cerebrospinal fluid","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"infectious mononucleosis","1","['disease or syndrome']"
"anatomic site","1","['body location or region']"
"thyrotoxicosis","1","['disease or syndrome']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"activity or exercise","1","['therapeutic or preventive procedure']"
"dietary potassium","1","['inorganic chemical']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"myasthenia gravis","1","['disease or syndrome']"
"does climb","1","['finding']"
"nerve conduction study","1","['diagnostic procedure']"
"common cold","1","['disease or syndrome', 'finding']"
