"preexcitation syndrome"
"wpw"
"heart","25","['body part, organ, or organ component', 'pharmacologic substance']"
"tachycardia","14","['finding']"
"heart rate","11","['clinical attribute']"
"heart beat","4","['organ or tissue function']"
"fibrillations","3","['disease or syndrome']"
"electrocardiography ambulatory","2","['diagnostic procedure']"
"electric countershock","2","['therapeutic or preventive procedure']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"cardiac ablation","2","['therapeutic or preventive procedure']"
"ventricular fibrillation","2","['disease or syndrome', 'finding']"
"anatomic site","2","['body location or region']"
"inguinal region","1","['body location or region']"
"respiratory air","1","['body substance']"
"palpitations","1","['finding']"
"direct current cardioversion","1","['therapeutic or preventive procedure']"
"dyspnea","1","['sign or symptom']"
"elastosis perforans serpiginosa","1","['diagnostic procedure', 'disease or syndrome']"
"leg","1","['body location or region']"
"wiring","1","['therapeutic or preventive procedure']"
"intravenous infusion procedures","1","['therapeutic or preventive procedure']"
"esthesia","1","['finding', 'organ or tissue function']"
"lightheadedness","1","['sign or symptom']"
"atrial fibrillation","1","['finding', 'pathologic function']"
"chest tightness","1","['sign or symptom']"
"vitality","1","['finding']"
"amiodarone","1","['organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"holter electrocardiography","1","['diagnostic procedure']"
"anti-arrhythmia agents","1","['pharmacologic substance']"
"fasting","1","['finding']"
"incised wound","1","['injury or poisoning']"
"normal heart rate","1","['finding']"
"adverse event associated with death","1","['finding']"
"electrocardiographic monitoring","1","['diagnostic procedure']"
"heart problem","1","['sign or symptom']"
"adenosine","1","['pharmacologic substance']"
"dizziness","1","['finding', 'sign or symptom']"
"supraventricular tachycardia","1","['disease or syndrome', 'finding']"
