CDEs, Frequency (0-1 normalized), UMLS Semantic Types
ethanol,49,organic chemical - pharmacologic substance,
alcoholic intoxication chronic,19,mental or behavioral dysfunction,
support - dental,15,clinical attribute - organic chemical - pharmacologic substance,
alcohol consumption,8,individual behavior,
anxiety disorders,5,finding - mental or behavioral dysfunction,
alcohol abuse,5,mental or behavioral dysfunction,
amino acids,3,biologically active substance - disease or syndrome - pharmacologic substance,
tissue damage,3,injury or poisoning,
physical findings,2,finding,
pharmaceutical preparations,2,pharmacologic substance,
pharmacologic substance,2,pharmacologic substance - therapeutic or preventive procedure,
alcohol problem,2,mental or behavioral dysfunction,
amniotic fluid,2,body substance,
multiple endocrine neoplasia,2,antibiotic - neoplastic process - organic chemical,
memory observations,2,finding,
alcohol withdrawal syndrome,2,disease or syndrome,
heart,1,body part organ or organ component - pharmacologic substance,
violence,1,mental or behavioral dysfunction,
congenital abnormality,1,congenital abnormality - disease or syndrome,
unemployment,1,finding,
tract,1,body part organ or organ component,
ask question,1,finding,
schizophrenia,1,mental or behavioral dysfunction,
family support,1,therapeutic or preventive procedure,
life threatening,1,finding,
brain injuries,1,injury or poisoning,
sexually transmitted diseases,1,disease or syndrome - organic chemical - pharmacologic substance,
hemorrhage,1,pathologic function - therapeutic or preventive procedure,
nerve damage,1,injury or poisoning,
disulfiram,1,body part organ or organ component - hazardous or poisonous substance - organic chemical - pharmacologic substance,
recurrent disease,1,disease or syndrome,
acamprosate,1,organic chemical - pharmacologic substance,
depression and suicide,1,mental or behavioral dysfunction,
naltrexone,1,organic chemical - pharmacologic substance,
pancreas,1,body part organ or organ component - disease or syndrome - organic chemical - pharmacologic substance,
prophylactic treatment,1,therapeutic or preventive procedure,
inflammation,1,pathologic function,
blackout - symptom,1,mental or behavioral dysfunction - sign or symptom,
esophagus,1,body part organ or organ component - disease or syndrome,
depression bipolar,1,mental or behavioral dysfunction,
seizures,1,finding - sign or symptom,
methamphetamine,1,body substance - hazardous or poisonous substance - organic chemical - pharmacologic substance,
heavy drinking,1,mental or behavioral dysfunction,
sobriety,1,individual behavior,
esophageal carcinoma,1,neoplastic process,
living situation,1,finding,
antabuse,1,organic chemical - pharmacologic substance,
injection of therapeutic agent,1,therapeutic or preventive procedure,
memory loss,1,mental or behavioral dysfunction - sign or symptom,
low self-esteem,1,finding,
memory lapses,1,mental or behavioral dysfunction,
tremor,1,finding - sign or symptom,
hand,1,body part organ or organ component,
confusion,1,finding - mental or behavioral dysfunction,
cirrhosis,1,disease or syndrome,
alcohol withdrawal delirium,1,disease or syndrome - receptor,
liver function,1,organ or tissue function,
blood alcohol level result,1,finding,
malignant neoplasms,1,biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure,
alcohol craving,1,finding,
emotional support,1,therapeutic or preventive procedure,
responsibility,1,individual behavior,
colonic diseases,1,disease or syndrome,
malnutrition,1,disease or syndrome,
myocardial dysfunction,1,pathologic function,
vivitrol,1,organic chemical - pharmacologic substance,
