"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"anorexia nervosa","4","mental or behavioral dysfunction"
"body weight decreased","4","finding"
"support - dental","4","clinical attribute - organic chemical - pharmacologic substance"
"does talk","3","finding"
"pharmaceutical preparations","3","pharmacologic substance"
"potassium low","2","finding"
"thyroid gland","2","body part organ or organ component - disease or syndrome - pharmacologic substance"
"treated with","2","therapeutic or preventive procedure"
"anxiety disorders","2","finding - mental or behavioral dysfunction"
"dietary potassium","2","inorganic chemical"
"proteins","2","biologically active substance"
"electrocardiogram","2","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"malnutrition","2","disease or syndrome"
"weight gain","2","finding - sign or symptom"
"bone density","1","clinical attribute - diagnostic procedure - disease or syndrome"
"tissue damage","1","injury or poisoning"
"heart problem","1","sign or symptom"
"anatomical layer","1","body part organ or organ component"
"antipsychotic agents","1","pharmacologic substance"
"dehydration","1","disease or syndrome - finding"
"tests and testing","1","diagnostic procedure"
"female","1","finding"
"lower body","1","body part organ or organ component"
"memory impairment","1","finding - mental or behavioral dysfunction"
"total protein result","1","laboratory or test result"
"heart rhythm","1","organ or tissue function - pathologic function"
"behaviorial habits","1","individual behavior"
"vitamins","1","organic chemical - pharmacologic substance"
"more common in females","1","finding"
"antidepressive agents","1","pharmacologic substance"
"dry skin","1","finding - pharmacologic substance - sign or symptom"
"diarrhea","1","finding - sign or symptom"
"kidney","1","body part organ or organ component"
"dental caries","1","disease or syndrome"
"albumins","1","biologically active substance"
"stabilizer - function","1","organ or tissue function"
"fine hair","1","finding"
"therapeutic procedure","1","enzyme - finding - therapeutic or preventive procedure"
"dental problem","1","finding"
"severe depression","1","mental or behavioral dysfunction"
"seizures","1","finding - sign or symptom"
"stomach","1","body part organ or organ component - disease or syndrome"
"renal function","1","organ or tissue function"
"confusion","1","finding - mental or behavioral dysfunction"
"memory observations","1","finding"
"oral region","1","body location or region - body part organ or organ component - disease or syndrome"
"administration of enema","1","therapeutic or preventive procedure"
"suicide","1","finding - mental or behavioral dysfunction"
"eating habit","1","individual behavior"
"physical findings","1","finding"
"xerostomia","1","sign or symptom"
"family conflict","1","finding"
"electrolytes","1","inorganic chemical - pharmacologic substance"
"minerals","1","inorganic chemical"
"intestines","1","body part organ or organ component"
"diuretics","1","pharmacologic substance"
"liver function","1","organ or tissue function"
"as if personality","1","mental or behavioral dysfunction"
"stress","1","finding - organic chemical - pharmacologic substance"
"adverse event associated with death","1","finding"
"bone mineral density test","1","clinical attribute - diagnostic procedure - disease or syndrome"
"sodium","1","biologically active substance - inorganic chemical - pharmacologic substance"
"body fluids","1","biologically active substance - body substance - pharmacologic substance"
"loss of body fat","1","finding"
"laxatives","1","pharmacologic substance"
"eating problem","1","finding"
"veins","1","body part organ or organ component"
"male gender","1","finding"
"other eating disorders","1","mental or behavioral dysfunction"
"weight maintenance regimen","1","therapeutic or preventive procedure"
"lack of water","1","finding - injury or poisoning"
