CDEs, Frequency (0-1 normalized), UMLS Semantic Types
vitamin b 12 deficiency,3,disease or syndrome,
very high,2,finding,
brain function,2,organ or tissue function,
pharmaceutical preparations,2,pharmacologic substance,
metabolic diseases,2,disease or syndrome,
diabetes,2,disease or syndrome,
hypoglycemia,2,disease or syndrome,
ammonia level finding,1,laboratory or test result,
deterioration of status,1,finding,
liver function,1,organ or tissue function,
does play,1,finding,
pressure ulcer,1,disease or syndrome,
sugars,1,pharmacologic substance,
insulin use,1,finding,
puncture procedure,1,diagnostic procedure - finding - therapeutic or preventive procedure,
vitamin deficiency,1,disease or syndrome,
hypothyroidism,1,disease or syndrome,
reflex action,1,finding - organ or tissue function,
urinary tract infection,1,disease or syndrome,
nutrition assessment,1,diagnostic procedure,
reflex abnormal,1,sign or symptom,
kidney,1,body part organ or organ component,
tissue damage,1,injury or poisoning,
mercury,1,hazardous or poisonous substance,
neurological observations,1,finding,
skin diseases infectious,1,disease or syndrome,
pneumonia,1,disease or syndrome,
cat scan of head,1,diagnostic procedure,
difficulty reading,1,finding,
lumbar region,1,body location or region,
prophylactic treatment,1,therapeutic or preventive procedure,
disorders of porphyrin metabolism,1,disease or syndrome,
numbness,1,finding - sign or symptom,
apical segmental bronchus,1,body part organ or organ component,
mental status adverse event,1,finding,
therapeutic procedure,1,enzyme - finding - therapeutic or preventive procedure,
confusion,1,finding - mental or behavioral dysfunction,
change in mental status,1,sign or symptom,
endocrine system diseases,1,disease or syndrome - finding,
thyrotoxicosis,1,disease or syndrome,
cognitive therapy,1,diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure,
nutrition disorders,1,disease or syndrome,
pellagra,1,disease or syndrome,
language problems,1,mental or behavioral dysfunction,
protein-energy malnutrition,1,pathologic function,
creatinine,1,biologically active substance - finding - organic chemical,
hyperparathyroidism,1,disease or syndrome,
as if personality,1,mental or behavioral dysfunction,
blood urea nitrogen,1,biologically active substance - inorganic chemical - organic chemical,
physical findings,1,finding,
hallucinations,1,mental or behavioral dysfunction,
thiamine deficiency,1,disease or syndrome,
mri of head,1,diagnostic procedure,
able to balance,1,finding,
finding of blood glucose level,1,laboratory or test result,
skills,1,individual behavior,
brain diseases,1,disease or syndrome,
calcium,1,biologically active substance - inorganic chemical - neoplastic process - pharmacologic substance - therapeutic or preventive procedure,
finding of vitamin b12 level,1,laboratory or test result,
renal function,1,organ or tissue function,
liver cirrhosis,1,disease or syndrome,
magnetic resonance imaging,1,diagnostic procedure,
glucose level - finding,1,laboratory or test result,
esthesia,1,finding - organ or tissue function,
dementia,30,mental or behavioral dysfunction,
pharmaceutical preparations,9,pharmacologic substance,
confusion,4,finding - mental or behavioral dysfunction,
mental status adverse event,3,finding,
forgetfulness,3,sign or symptom,
memory observations,3,finding,
dementia vascular,3,disease or syndrome,
mild cognitive disorder,3,mental or behavioral dysfunction,
brain function,2,organ or tissue function,
anemia,2,disease or syndrome,
skills,2,individual behavior,
razadyne,2,organic chemical - pharmacologic substance,
vitamins,2,organic chemical - pharmacologic substance,
ethanol,2,organic chemical - pharmacologic substance,
cerebrospinal fluid,2,biologically active substance - body substance - pharmacologic substance,
deterioration of status,2,finding,
heart,2,body part organ or organ component - pharmacologic substance,
acquired immunodeficiency syndrome,2,disease or syndrome,
cerebrovascular accident,2,disease or syndrome - therapeutic or preventive procedure,
as if personality,2,mental or behavioral dysfunction,
ammonia level finding,1,laboratory or test result,
violent,1,mental or behavioral dysfunction,
sodium,1,biologically active substance - inorganic chemical - pharmacologic substance,
hearing examination finding,1,finding,
stabilizer - function,1,organ or tissue function,
hiv,1,disease or syndrome - pharmacologic substance - virus,
citalopram,1,organic chemical - pharmacologic substance,
flatulence,1,finding - sign or symptom,
pharmacologic substance,1,pharmacologic substance - therapeutic or preventive procedure,
hypoxia,1,finding - pathologic function,
pick disease of the brain,1,disease or syndrome,
physical findings,1,finding,
hallucinations,1,mental or behavioral dysfunction,
calcium level result,1,laboratory or test result,
oxygen,1,pharmacologic substance,
proteins,1,biologically active substance,
rivastigmine,1,organic chemical - pharmacologic substance,
stimulant,1,pharmacologic substance,
magnetic resonance imaging,1,diagnostic procedure,
does play,1,finding,
body fluids,1,biologically active substance - body substance - pharmacologic substance,
sugars,1,pharmacologic substance,
tsh - thyroid stimulating hormone level result,1,laboratory or test result,
impulsive behavior,1,individual behavior,
incontinence,1,disease or syndrome,
physical therapy exercises,1,therapeutic or preventive procedure,
imipramine,1,organic chemical - pharmacologic substance,
antipsychotic agents,1,pharmacologic substance,
namenda,1,organic chemical - pharmacologic substance,
nutrition disorders,1,disease or syndrome,
symptoms signs and ill-defined conditions,1,sign or symptom,
hydrocephalus normal pressure,1,disease or syndrome,
brain neoplasms,1,neoplastic process,
donepezil,1,organic chemical - pharmacologic substance,
severe dementia,1,mental or behavioral dysfunction,
swallowing problems,1,sign or symptom,
eye,1,body part organ or organ component - body substance,
cat scan of head,1,diagnostic procedure,
difficulty reading,1,finding,
mild adverse event,1,finding,
vitamin diseases,1,disease or syndrome,
prophylactic treatment,1,therapeutic or preventive procedure,
delusions,1,mental or behavioral dysfunction,
exelon,1,organic chemical - pharmacologic substance,
change in mental status,1,sign or symptom,
prevention in the home,1,therapeutic or preventive procedure,
cessation of smoking,1,finding - individual behavior,
language problems,1,mental or behavioral dysfunction,
risperidone,1,organic chemical - pharmacologic substance,
intoxication,1,finding,
screening for cancer,1,diagnostic procedure,
psychotherapy,1,therapeutic or preventive procedure,
vitamin b 12,1,organic chemical - pharmacologic substance,
finding of hormone level,1,laboratory or test result,
forgetting,1,mental or behavioral dysfunction,
neurologic examination,1,diagnostic procedure,
severe depression,1,mental or behavioral dysfunction,
change of medication,1,therapeutic or preventive procedure,
progressive supranuclear palsy,1,biologically active substance - disease or syndrome,
haloperidol,1,organic chemical - pharmacologic substance,
electroencephalography,1,diagnostic procedure - finding - laboratory or test result,
agitation,1,finding - sign or symptom,
brain injuries,1,injury or poisoning,
vitamin deficiency,1,disease or syndrome,
able to balance,1,finding,
cimetidine,1,organic chemical - pharmacologic substance,
thyroid diseases,1,body part organ or organ component - disease or syndrome - pharmacologic substance,
abnormal protein,1,biologically active substance,
perform,1,pharmacologic substance,
thyrotropin,1,pharmacologic substance,
multiple sclerosis,1,body part organ or organ component - disease or syndrome - finding,
cognitive therapy,1,diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure,
ear structure,1,body part organ or organ component - body substance,
galantamine,1,organic chemical - pharmacologic substance,
interventional procedure,1,diagnostic procedure - therapeutic or preventive procedure,
blood gas,1,organ or tissue function,
cataract adverse event,1,finding,
diet fat-restricted,1,therapeutic or preventive procedure,
paralysed,1,finding,
memantine,1,organic chemical - pharmacologic substance,
problem behavior,1,finding - mental or behavioral dysfunction,
olanzapine,1,organic chemical - pharmacologic substance,
cerebrovascular accident,18,disease or syndrome - therapeutic or preventive procedure,
brain,11,body part organ or organ component - disease or syndrome,
dementia,11,mental or behavioral dysfunction,
pharmaceutical preparations,5,pharmacologic substance,
smoking,3,hazardous or poisonous substance - individual behavior,
multi-infarct dementia,3,disease or syndrome,
tissue damage,2,injury or poisoning,
agitation,2,finding - sign or symptom,
hardening of the arteries,2,finding,
deterioration of status,2,finding,
short period,2,finding,
esthesia,2,finding - organ or tissue function,
cholesterol,2,biologically active substance,
blood clot,2,acquired abnormality - organ or tissue function - organic chemical - pathologic function - pharmacologic substance,
heart,1,body part organ or organ component - pharmacologic substance,
hypertensive disease,1,biologically active substance - disease or syndrome - finding,
nervous system physiological phenomena,1,organ or tissue function,
support - dental,1,clinical attribute - organic chemical - pharmacologic substance,
does play,1,finding,
pressure ulcer,1,disease or syndrome,
very low,1,finding,
neuropsychological tests,1,diagnostic procedure,
able to balance,1,finding,
tests and testing,1,diagnostic procedure,
hypercholesterolemia result,1,finding,
urinary tract infection,1,disease or syndrome,
physical findings,1,finding,
acquired immunodeficiency syndrome,1,disease or syndrome,
hazards in the home,1,finding,
clopidogrel,1,organic chemical - pharmacologic substance,
mercury,1,hazardous or poisonous substance,
neurological observations,1,finding,
vitamins,1,organic chemical - pharmacologic substance,
forgetting,1,mental or behavioral dysfunction,
cat scan of head,1,diagnostic procedure,
brain function,1,organ or tissue function,
vitamin diseases,1,disease or syndrome,
cataract adverse event,1,finding,
prophylactic treatment,1,therapeutic or preventive procedure,
delusions,1,mental or behavioral dysfunction,
mental status adverse event,1,finding,
infarction,1,pathologic function,
change in mental status,1,sign or symptom,
anemia,1,disease or syndrome,
pneumonia,1,disease or syndrome,
cognitive therapy,1,diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure,
aspirin,1,organic chemical - pharmacologic substance,
antiplatelet agents,1,pharmacologic substance,
morular metaplasia of the endometrium,1,finding,
language problems,1,mental or behavioral dysfunction,
confusion,1,finding - mental or behavioral dysfunction,
plavix,1,organic chemical - pharmacologic substance,
problem behavior,1,finding - mental or behavioral dysfunction,
as if personality,1,mental or behavioral dysfunction,
blood supply aspects,1,body part organ or organ component - congenital abnormality - disease or syndrome - organ or tissue function,
hypotension,1,finding - pathologic function,
intoxication,1,finding,
violent,1,mental or behavioral dysfunction,
severe depression,1,mental or behavioral dysfunction,
hallucinations,1,mental or behavioral dysfunction,
diabetes,1,disease or syndrome,
pharmacologic substance,1,pharmacologic substance - therapeutic or preventive procedure,
neurological problem,1,finding,
diet fat-restricted,1,therapeutic or preventive procedure,
skills,1,individual behavior,
hearing examination finding,1,finding,
skin diseases infectious,1,disease or syndrome,
dangerous behavior,1,individual behavior,
fatty acid glycerol esters,1,biologically active substance - pharmacologic substance - therapeutic or preventive procedure,
multiple endocrine neoplasia,1,antibiotic - neoplastic process - organic chemical,
vitamin deficiency,1,disease or syndrome,
difficulty reading,1,finding,
myasthenia gravis,1,disease or syndrome,
memory observations,1,finding,
magnetic resonance imaging,1,diagnostic procedure,
anti-infective agents,1,pharmacologic substance,
low-density lipoproteins,1,biologically active substance,
