CDEs, Frequency (0-1 normalized), UMLS Semantic Types
dementia,30,mental or behavioral dysfunction,
pharmaceutical preparations,9,pharmacologic substance,
confusion,4,finding - mental or behavioral dysfunction,
mental status adverse event,3,finding,
forgetfulness,3,sign or symptom,
memory observations,3,finding,
dementia vascular,3,disease or syndrome,
mild cognitive disorder,3,mental or behavioral dysfunction,
brain function,2,organ or tissue function,
anemia,2,disease or syndrome,
skills,2,individual behavior,
razadyne,2,organic chemical - pharmacologic substance,
vitamins,2,organic chemical - pharmacologic substance,
ethanol,2,organic chemical - pharmacologic substance,
cerebrospinal fluid,2,biologically active substance - body substance - pharmacologic substance,
deterioration of status,2,finding,
heart,2,body part organ or organ component - pharmacologic substance,
acquired immunodeficiency syndrome,2,disease or syndrome,
cerebrovascular accident,2,disease or syndrome - therapeutic or preventive procedure,
as if personality,2,mental or behavioral dysfunction,
ammonia level finding,1,laboratory or test result,
violent,1,mental or behavioral dysfunction,
sodium,1,biologically active substance - inorganic chemical - pharmacologic substance,
hearing examination finding,1,finding,
stabilizer - function,1,organ or tissue function,
hiv,1,disease or syndrome - pharmacologic substance - virus,
citalopram,1,organic chemical - pharmacologic substance,
flatulence,1,finding - sign or symptom,
pharmacologic substance,1,pharmacologic substance - therapeutic or preventive procedure,
hypoxia,1,finding - pathologic function,
pick disease of the brain,1,disease or syndrome,
physical findings,1,finding,
hallucinations,1,mental or behavioral dysfunction,
calcium level result,1,laboratory or test result,
oxygen,1,pharmacologic substance,
proteins,1,biologically active substance,
rivastigmine,1,organic chemical - pharmacologic substance,
stimulant,1,pharmacologic substance,
magnetic resonance imaging,1,diagnostic procedure,
does play,1,finding,
body fluids,1,biologically active substance - body substance - pharmacologic substance,
sugars,1,pharmacologic substance,
tsh - thyroid stimulating hormone level result,1,laboratory or test result,
impulsive behavior,1,individual behavior,
incontinence,1,disease or syndrome,
physical therapy exercises,1,therapeutic or preventive procedure,
imipramine,1,organic chemical - pharmacologic substance,
antipsychotic agents,1,pharmacologic substance,
namenda,1,organic chemical - pharmacologic substance,
nutrition disorders,1,disease or syndrome,
symptoms signs and ill-defined conditions,1,sign or symptom,
hydrocephalus normal pressure,1,disease or syndrome,
brain neoplasms,1,neoplastic process,
donepezil,1,organic chemical - pharmacologic substance,
severe dementia,1,mental or behavioral dysfunction,
swallowing problems,1,sign or symptom,
eye,1,body part organ or organ component - body substance,
cat scan of head,1,diagnostic procedure,
difficulty reading,1,finding,
mild adverse event,1,finding,
vitamin diseases,1,disease or syndrome,
prophylactic treatment,1,therapeutic or preventive procedure,
delusions,1,mental or behavioral dysfunction,
exelon,1,organic chemical - pharmacologic substance,
change in mental status,1,sign or symptom,
prevention in the home,1,therapeutic or preventive procedure,
cessation of smoking,1,finding - individual behavior,
language problems,1,mental or behavioral dysfunction,
risperidone,1,organic chemical - pharmacologic substance,
intoxication,1,finding,
screening for cancer,1,diagnostic procedure,
psychotherapy,1,therapeutic or preventive procedure,
vitamin b 12,1,organic chemical - pharmacologic substance,
finding of hormone level,1,laboratory or test result,
forgetting,1,mental or behavioral dysfunction,
neurologic examination,1,diagnostic procedure,
severe depression,1,mental or behavioral dysfunction,
change of medication,1,therapeutic or preventive procedure,
progressive supranuclear palsy,1,biologically active substance - disease or syndrome,
haloperidol,1,organic chemical - pharmacologic substance,
electroencephalography,1,diagnostic procedure - finding - laboratory or test result,
agitation,1,finding - sign or symptom,
brain injuries,1,injury or poisoning,
vitamin deficiency,1,disease or syndrome,
able to balance,1,finding,
cimetidine,1,organic chemical - pharmacologic substance,
thyroid diseases,1,body part organ or organ component - disease or syndrome - pharmacologic substance,
abnormal protein,1,biologically active substance,
perform,1,pharmacologic substance,
thyrotropin,1,pharmacologic substance,
multiple sclerosis,1,body part organ or organ component - disease or syndrome - finding,
cognitive therapy,1,diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure,
ear structure,1,body part organ or organ component - body substance,
galantamine,1,organic chemical - pharmacologic substance,
interventional procedure,1,diagnostic procedure - therapeutic or preventive procedure,
blood gas,1,organ or tissue function,
cataract adverse event,1,finding,
diet fat-restricted,1,therapeutic or preventive procedure,
paralysed,1,finding,
memantine,1,organic chemical - pharmacologic substance,
problem behavior,1,finding - mental or behavioral dysfunction,
olanzapine,1,organic chemical - pharmacologic substance,
