CDEs, Frequency (0-1 normalized), UMLS Semantic Types
panic attacks,6,mental or behavioral dysfunction,
pharmaceutical preparations,4,pharmacologic substance,
anxiety disorders,4,finding - mental or behavioral dysfunction,
heart,3,body part organ or organ component - pharmacologic substance,
cognitive therapy,3,diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure,
choice behavior,2,individual behavior,
antidepressive agents,2,pharmacologic substance,
panic disorder with agoraphobia,2,mental or behavioral dysfunction,
reuptake inhibitors,2,pharmacologic substance,
ethanol,1,organic chemical - pharmacologic substance,
respiratory air,1,body substance,
feeling detached,1,sign or symptom,
panic symptoms,1,sign or symptom,
dyspnea,1,sign or symptom,
neurological observations,1,finding,
syncope,1,sign or symptom,
more common in women,1,finding,
agitation,1,finding - sign or symptom,
prophylactic treatment,1,therapeutic or preventive procedure,
chest,1,body location or region - disease or syndrome,
hot flushes,1,sign or symptom,
hypersensitivity desensitization,1,therapeutic or preventive procedure,
stomach,1,body part organ or organ component - disease or syndrome,
benzodiazepines,1,organic chemical - pharmacologic substance,
other drugs,1,pharmacologic substance,
pain or discomfort,1,sign or symptom,
norepinephrine,1,organic chemical - pharmacologic substance,
malaise,1,finding - sign or symptom,
alcohol abuse,1,mental or behavioral dysfunction,
physical findings,1,finding,
serotonin uptake inhibitors,1,pharmacologic substance,
fear of crowds,1,mental or behavioral dysfunction,
myocardial infarction,1,disease or syndrome - finding,
stress,1,finding - organic chemical - pharmacologic substance,
numbness,1,finding - sign or symptom,
trembling,1,sign or symptom,
multiple endocrine neoplasia,1,antibiotic - neoplastic process - organic chemical,
short period,1,finding,
selective serotonin re-uptake inhibitor,1,pharmacologic substance,
fear and anxiety,1,mental or behavioral dysfunction,
dizziness,1,finding - sign or symptom,
chills,1,sign or symptom,
relaxation techniques,1,therapeutic or preventive procedure,
pharmaceutical preparations,9,pharmacologic substance,
ethanol,4,organic chemical - pharmacologic substance,
anxiety disorders,3,finding - mental or behavioral dysfunction,
caffeine,2,organic chemical - pharmacologic substance - therapeutic or preventive procedure,
esthesia,2,finding - organ or tissue function,
alcohol abuse,2,mental or behavioral dysfunction,
stimulant,2,pharmacologic substance,
myocardial infarction,2,disease or syndrome - finding,
pounding heart,1,sign or symptom,
physical findings,1,finding,
illicit drugs,1,hazardous or poisonous substance - pharmacologic substance,
respiratory air,1,body substance,
sedatives,1,pharmacologic substance,
palpitations,1,finding,
hyposomnia,1,pathologic function,
heart rate,1,clinical attribute,
panic disorder,1,disease or syndrome - mental or behavioral dysfunction,
cocaine,1,hazardous or poisonous substance - injury or poisoning - organic chemical - pharmacologic substance,
agoraphobia,1,mental or behavioral dysfunction,
dyspnea,1,sign or symptom,
sweating,1,body substance - finding,
syncope,1,sign or symptom,
antidepressive agents,1,pharmacologic substance,
choking sensation,1,sign or symptom,
precipitating factors,1,clinical attribute,
upset stomach,1,sign or symptom,
impending doom,1,sign or symptom,
chest,1,body location or region - disease or syndrome,
prophylactic treatment,1,therapeutic or preventive procedure,
carney complex type 1,1,disease or syndrome,
mechanical detachment,1,pathologic function,
hot flushes,1,sign or symptom,
marital conflict,1,finding,
does talk,1,finding,
marriage life event,1,finding,
tachycardia,1,finding,
cognitive therapy,1,diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure,
exercise pain management,1,therapeutic or preventive procedure,
alcohol consumption,1,individual behavior,
other drugs,1,pharmacologic substance,
pain or discomfort,1,sign or symptom,
malaise,1,finding - sign or symptom,
reuptake inhibitors,1,pharmacologic substance,
serotonin uptake inhibitors,1,pharmacologic substance,
hand,1,body part organ or organ component,
nausea,1,finding - sign or symptom,
stress,1,finding - organic chemical - pharmacologic substance,
numbness,1,finding - sign or symptom,
multiple endocrine neoplasia,1,antibiotic - neoplastic process - organic chemical,
common cold,1,disease or syndrome - finding,
selective serotonin re-uptake inhibitor,1,pharmacologic substance,
dizziness,1,finding - sign or symptom,
chills,1,sign or symptom,
