"depression in the elderly"
"pharmaceutical preparations","5","['pharmacologic substance']"
"ethanol","3","['organic chemical', 'pharmacologic substance']"
"deterioration of status","2","['finding']"
"acquired immunodeficiency syndrome","2","['disease or syndrome']"
"does talk","2","['finding']"
"physical findings","2","['finding']"
"multiple endocrine neoplasia","2","['antibiotic', 'neoplastic process', 'organic chemical']"
"illicit drugs","1","['hazardous or poisonous substance', 'pharmacologic substance']"
"ask question","1","['finding']"
"thyroid diseases","1","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"dementia","1","['mental or behavioral dysfunction']"
"anorexia","1","['disease or syndrome', 'finding']"
"retirement","1","['finding']"
"antidepressive agents","1","['pharmacologic substance']"
"worthlessness","1","['finding']"
"feeling hopeless","1","['finding']"
"depressive symptoms","1","['sign or symptom']"
"suicide","1","['finding', 'mental or behavioral dysfunction']"
"depressed mood","1","['finding', 'mental or behavioral dysfunction']"
"behaviorial habits","1","['individual behavior']"
"bony process","1","['body part, organ, or organ component']"
"cerebrovascular accident","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"loss of independence","1","['finding']"
"does move","1","['finding']"
"heart diseases","1","['disease or syndrome']"
