"depression - major"
"major depressive disorder"
"unipolar depression"
"pharmaceutical preparations","11","['pharmacologic substance']"
"does talk","8","['finding']"
"deterioration of status","5","['finding']"
"antidepressive agents","4","['pharmacologic substance']"
"ethanol","4","['organic chemical', 'pharmacologic substance']"
"physical findings","3","['finding']"
"suicide","3","['finding', 'mental or behavioral dysfunction']"
"pharmacologic substance","3","['pharmacologic substance', 'therapeutic or preventive procedure']"
"agitation","2","['finding', 'sign or symptom']"
"brain","2","['body part, organ, or organ component', 'disease or syndrome']"
"benign rolandic epilepsy","2","['disease or syndrome', 'therapeutic or preventive procedure']"
"feeling hopeless","2","['finding']"
"delusions","2","['mental or behavioral dysfunction']"
"depressive symptoms","2","['sign or symptom']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"fatigue","2","['sign or symptom']"
"depressed mood","2","['finding', 'mental or behavioral dysfunction']"
"adverse event associated with death","2","['finding']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"illicit drugs","1","['hazardous or poisonous substance', 'pharmacologic substance']"
"hypothyroidism","1","['disease or syndrome']"
"chronic depressive personality disorder","1","['mental or behavioral dysfunction']"
"infantile neuroaxonal dystrophy","1","['disease or syndrome']"
"withdrawn","1","['finding']"
"worthlessness","1","['finding']"
"mild depression","1","['mental or behavioral dysfunction']"
"short period","1","['finding']"
"thyroid carcinoma","1","['neoplastic process']"
"involved in group activities","1","['finding']"
"unhappy","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"thyroid gland","1","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"problem-solving skills","1","['individual behavior']"
"seasonal affective disorder","1","['finding', 'mental or behavioral dysfunction']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"spell","1","['finding']"
"vitality","1","['finding']"
"verbal auditory hallucinations","1","['finding', 'sign or symptom']"
"psychotherapy","1","['therapeutic or preventive procedure']"
"behaviorial habits","1","['individual behavior']"
"natural remedies","1","['therapeutic or preventive procedure']"
"diabetes","1","['disease or syndrome']"
"clinical depression","1","['mental or behavioral dysfunction']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"loneliness","1","['finding']"
"loss of interest","1","['mental or behavioral dysfunction']"
"severe depression","1","['mental or behavioral dysfunction']"
"weight gain","1","['finding', 'sign or symptom']"
"irritable mood","1","['finding']"
"current drinker","1","['individual behavior']"
