"panic attacks"
"observation of attack","19","['finding']"
"panic attacks","12","['mental or behavioral dysfunction']"
"pharmaceutical preparations","9","['pharmacologic substance']"
"ethanol","4","['organic chemical', 'pharmacologic substance']"
"anxiety disorders","3","['finding', 'mental or behavioral dysfunction']"
"caffeine","2","['organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"esthesia","2","['finding', 'organ or tissue function']"
"alcohol abuse","2","['mental or behavioral dysfunction']"
"stimulant","2","['pharmacologic substance']"
"myocardial infarction","2","['disease or syndrome', 'finding']"
"pounding heart","1","['sign or symptom']"
"physical findings","1","['finding']"
"illicit drugs","1","['hazardous or poisonous substance', 'pharmacologic substance']"
"respiratory air","1","['body substance']"
"sedatives","1","['pharmacologic substance']"
"palpitations","1","['finding']"
"hyposomnia","1","['pathologic function']"
"heart rate","1","['clinical attribute']"
"panic disorder","1","['disease or syndrome', 'mental or behavioral dysfunction']"
"cocaine","1","['hazardous or poisonous substance', 'injury or poisoning', 'organic chemical', 'pharmacologic substance']"
"agoraphobia","1","['mental or behavioral dysfunction']"
"dyspnea","1","['sign or symptom']"
"sweating","1","['body substance', 'finding']"
"syncope","1","['sign or symptom']"
"antidepressive agents","1","['pharmacologic substance']"
"choking sensation","1","['sign or symptom']"
"precipitating factors","1","['clinical attribute']"
"upset stomach","1","['sign or symptom']"
"impending doom","1","['sign or symptom']"
"chest","1","['body location or region', 'disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"carney complex type 1","1","['disease or syndrome']"
"mechanical detachment","1","['pathologic function']"
"hot flushes","1","['sign or symptom']"
"marital conflict","1","['finding']"
"does talk","1","['finding']"
"marriage life event","1","['finding']"
"tachycardia","1","['finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"alcohol consumption","1","['individual behavior']"
"other drugs","1","['pharmacologic substance']"
"pain or discomfort","1","['sign or symptom']"
"malaise","1","['finding', 'sign or symptom']"
"reuptake inhibitors","1","['pharmacologic substance']"
"serotonin uptake inhibitors","1","['pharmacologic substance']"
"hand","1","['body part, organ, or organ component']"
"nausea","1","['finding', 'sign or symptom']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"numbness","1","['finding', 'sign or symptom']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"common cold","1","['disease or syndrome', 'finding']"
"selective serotonin re-uptake inhibitor","1","['pharmacologic substance']"
"dizziness","1","['finding', 'sign or symptom']"
"chills","1","['sign or symptom']"
